transaction_id,opportunity_name,product_id,store_id,quantity,selling_price,discount_amount,transaction_timestamp,payment_mode,sales_channel
TXN_NEW_0048,Urban Fashion Order 77,P0002,S002,4,62967,6825,01-May-2026 06.50.25 PM,Cash,Store
TXN_NEW_0049,Royal Electronics Order 72,P0013,S005,5,62662,2959,29-Apr-2026 03.20.26 AM,UPI,Store
TXN_NEW_0050,Elite Appliances Order 73,P0009,S004,1,55493,3297,15-Apr-2026 05.54.46 PM,Card,Store
TXN_NEW_0051,Quick Appliances Order 82,P0006,S002,2,113448,8370,24-Apr-2026 11.39.29 PM,Card,Store
TXN_NEW_0052,Prime Groceries Order 33,P0017,S003,5,70425,159,14-Apr-2026 12.49.08 AM,Cash,Store
TXN_NEW_0053,Mega Appliances Order 89,P0002,S005,4,21278,3016,05-Apr-2026 03.18.37 PM,Card,Online
TXN_NEW_0054,Royal Furniture Order 57,P0020,S002,5,81159,10365,03-Apr-2026 11.44.38 PM,UPI,Online
TXN_NEW_0055,Value Lifestyle Order 61,P0013,S003,4,88383,6770,17-Apr-2026 12.06.41 PM,Cash,Store
TXN_NEW_0056,Quick Mobile Order 47,P0011,S001,2,19466,2377,15-Apr-2026 08.18.51 PM,UPI,Online
TXN_NEW_0057,Quick Appliances Order 82,P0011,S001,1,3420,203,11-Apr-2026 08.07.38 PM,Net Banking,Store
TXN_NEW_0058,Mega Appliances Order 49,P0016,S001,5,47454,1587,02-Apr-2026 07.50.06 AM,UPI,Online
TXN_NEW_0059,Royal Furniture Order 57,P0007,S005,3,54107,3910,17-Apr-2026 12.39.18 PM,Net Banking,Store
TXN_NEW_0060,Modern Mobile Order 93,P0018,S005,5,18819,2486,29-Apr-2026 12.59.02 PM,Cash,Store
TXN_NEW_0061,Smart Groceries Order 6,P0009,S005,1,51767,2396,30-Apr-2026 08.36.08 AM,Cash,Online
TXN_NEW_0062,Elite Mobile Order 14,P0019,S004,5,115840,15953,01-Apr-2026 11.00.19 AM,UPI,Online
TXN_NEW_0063,Quick Appliances Order 22,P0014,S004,1,78691,5761,06-Apr-2026 01.56.49 PM,Card,Store
TXN_NEW_0064,Quick Appliances Order 82,P0011,S004,1,22441,2994,21-Apr-2026 09.28.11 PM,UPI,Online
TXN_NEW_0065,Urban Mobile Order 3,P0015,S004,5,39361,307,29-Apr-2026 10.19.14 AM,Cash,Online
TXN_NEW_0066,Urban Fashion Order 77,P0013,S003,3,66174,5439,25-Apr-2026 09.14.58 PM,UPI,Store
TXN_NEW_0067,Modern Mobile Order 94,P0019,S004,4,33534,1193,24-Apr-2026 08.59.57 AM,Cash,Store
TXN_NEW_0068,Quick Furniture Order 48,P0019,S002,1,552,18,26-Apr-2026 04.39.00 AM,Cash,Store
TXN_NEW_0069,Royal Lifestyle Order 32,P0011,S005,5,87765,8412,22-Apr-2026 05.57.24 AM,Cash,Online
TXN_NEW_0070,Global Mobile Order 69,P0001,S004,1,31483,3167,10-Apr-2026 04.39.34 AM,Card,Online
TXN_NEW_0071,Fresh Groceries Order 39,P0011,S004,4,109756,7672,14-Apr-2026 11.28.56 PM,UPI,Store
TXN_NEW_0072,Fresh Electronics Order 65,P0003,S001,2,72329,5358,14-Apr-2026 06.59.00 AM,UPI,Store
TXN_NEW_0073,Modern Accessories Order 20,P0011,S003,1,30783,1706,22-Apr-2026 10.25.22 PM,UPI,Store
TXN_NEW_0074,Royal Groceries Order 100,P0002,S001,1,53859,4017,18-Apr-2026 06.48.52 PM,Cash,Store
TXN_NEW_0075,Modern Mobile Order 94,P0014,S004,4,88000,2451,06-Apr-2026 02.13.27 PM,Card,Store
TXN_NEW_0076,Urban Mobile Order 42,P0004,S003,3,54264,5719,26-Apr-2026 06.56.35 PM,UPI,Store
TXN_NEW_0077,Modern Mobile Order 94,P0014,S003,5,18849,2590,19-Apr-2026 03.48.52 AM,Cash,Store
TXN_NEW_0078,Urban Electronics Order 87,P0018,S005,5,66275,3928,10-Apr-2026 02.59.25 PM,UPI,Online
TXN_NEW_0079,Elite Mobile Order 14,P0019,S003,3,105830,3498,04-Apr-2026 05.57.17 AM,Card,Store
TXN_NEW_0080,Royal Groceries Order 59,P0012,S003,2,118453,9600,30-Apr-2026 11.27.50 PM,Cash,Store
TXN_NEW_0081,Fresh Furniture Order 53,P0010,S004,2,67115,9532,25-Apr-2026 05.39.43 AM,Card,Store
TXN_NEW_0082,Elite Lifestyle Order 99,P0017,S002,2,106540,12972,28-Apr-2026 10.00.28 AM,Cash,Online
TXN_NEW_0083,Quick Fashion Order 41,P0020,S003,1,102017,13649,01-Apr-2026 08.41.36 AM,Net Banking,Online
TXN_NEW_0084,Smart Mobile Order 80,P0017,S005,3,60108,6199,07-Apr-2026 04.11.08 AM,UPI,Online
TXN_NEW_0085,Value Accessories Order 12,P0014,S001,1,48327,5567,16-Apr-2026 01.06.10 PM,Cash,Store
TXN_NEW_0086,Value Fashion Order 95,P0013,S003,3,57708,4356,08-Apr-2026 09.50.10 PM,Cash,Store
TXN_NEW_0087,Global Appliances Order 88,P0015,S005,4,33412,4451,22-Apr-2026 12.33.20 PM,UPI,Online
TXN_NEW_0088,Fresh Groceries Order 39,P0009,S003,3,52742,2235,24-Apr-2026 10.20.22 AM,Card,Online
TXN_NEW_0089,Metro Fashion Order 36,P0013,S002,1,14302,566,01-Apr-2026 02.03.42 AM,UPI,Online
TXN_NEW_0090,Value Fashion Order 4,P0004,S001,1,30735,3915,24-Apr-2026 02.11.43 PM,Net Banking,Store
TXN_NEW_0091,Elite Fashion Order 96,P0003,S005,1,88479,10297,23-Apr-2026 07.02.55 PM,Cash,Store
TXN_NEW_0092,Fresh Electronics Order 75,P0016,S001,4,30873,1732,03-Apr-2026 07.47.33 PM,UPI,Online
TXN_NEW_0093,Elite Accessories Order 28,P0005,S001,4,33523,1350,05-Apr-2026 03.47.00 PM,Net Banking,Store
TXN_NEW_0094,Fresh Electronics Order 65,P0004,S003,3,96072,10868,16-Apr-2026 05.00.22 AM,Card,Store
TXN_NEW_0095,Quick Electronics Order 5,P0017,S004,4,81448,9317,10-Apr-2026 03.06.39 AM,UPI,Online
TXN_NEW_0096,Prime Groceries Order 33,P0017,S003,5,66004,3596,12-Apr-2026 09.56.47 PM,UPI,Store
TXN_NEW_0097,Quick Appliances Order 97,P0009,S004,1,26788,1403,21-Apr-2026 04.22.26 PM,Card,Store
TXN_NEW_0098,Global Electronics Order 9,P0004,S001,1,59023,7905,06-Apr-2026 04.15.22 AM,UPI,Online
TXN_NEW_0099,Smart Mobile Order 64,P0011,S003,3,37633,5509,19-Apr-2026 09.51.16 PM,Net Banking,Online
TXN_NEW_0100,Royal Lifestyle Order 84,P0001,S004,4,100657,5684,18-Apr-2026 10.40.13 PM,Cash,Store
